Date,Patch ID,Patch Data ID,Patch Data Length,Initialization Flag,Patch Data Checksum,Northbridge Device ID,Southbridge Device ID,Processor Revision ID,Northbridge Revision ID,Southbridge Revision ID,BIOS API Revision,Unknown 1,Unknown 2,Unknown 3,Match 1,Match 2,Match 3,Match 4,Match 5,Match 6,Match 7,Match 8
2/6/2004,0x00000039,0x00008000,0x00000040,0x00000000,0x3e331cfd,0x00000000,0x00000000,0x00000048,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000644,0x00000140,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff
2/6/2004,0x0000003a,0x00008000,0x00000040,0x00000000,0x3e88c6fd,0x00000000,0x00000000,0x0000004a,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000644,0x00000140,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff
7/19/2004,0x00000047,0x00008000,0x00000040,0x00000000,0x2ebedd53,0x00000000,0x00000000,0x0000004a,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000644,0x00000140,0x000004b4,0x000004ba,0x00000884,0x00000745,0xffffffff,0xffffffff
2/25/2004,0x00000041,0x00008000,0x00000040,0x00000000,0x3e5a6afd,0x00000000,0x00000000,0x00000150,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000644,0x00000140,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff
4/28/2005,0x0000004d,0x00008000,0x00000040,0x00000001,0xc294596b,0x00000000,0x00000000,0x00000210,0x00000000,0x00000000,0x00000001,0x000000aa,0x000000aa,0x000000aa,0x000002a8,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff
2/8/2007,0x01000018,0x00008000,0x00000040,0x00000000,0x07307066,0x00000000,0x00000000,0x00001000,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000644,0xffffffff,0x000006a4,0xffffffff,0x00000972,0x00000970,0x00000b9b,0xffffffff
3/26/2007,0x01000020,0x00008000,0x00000040,0x00000000,0x07306866,0x00000000,0x10000000,0x00001000,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000644,0xffffffff,0x000006a4,0xffffffff,0x00000972,0x00000970,0x00000b9b,0xffffffff
6/27/2007,0x01000033,0x00008000,0x00000040,0x00000000,0x55d576de,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000970,0x00000149,0xffffffff,0x000008c1,0xffffffff,0xffffffff,0xffffffff,0xffffffff
1/11/2008,0x01000066,0x00008000,0x00000040,0x00000000,0x84f07583,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000970,0x00000149,0x0000018b,0x000008c1,0xffffffff,0x00000f56,0x00000b9e,0x00000b9a
5/1/2008,0x01000084,0x00008000,0x00000040,0x00000000,0x1fcc8590,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000970,0x00000149,0x0000018b,0x000008c1,0xffffffff,0x00000f56,0x00000b9e,0x00000c70
11/5/2008,0x01000096,0x00008000,0x00000040,0x00000000,0x6d2dd485,0x00000000,0x00000000,0x00001020,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000970,0x00000149,0x0000018b,0x000008c1,0xffffffff,0x00000f56,0x00000b9e,0x00000c70
7/23/2007,0x01000035,0x00008000,0x00000040,0x00000000,0x55d576de,0x00000000,0x00000000,0x00001022,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000970,0x00000149,0xffffffff,0x000008c1,0xffffffff,0xffffffff,0xffffffff,0xffffffff
1/11/2008,0x01000065,0x00008000,0x00000040,0x00000000,0x6c67789b,0x00000000,0x00000000,0x00001022,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000970,0x00000149,0x0000018b,0x000008c1,0x00000baa,0x00000f56,0x00000b9e,0x00000b9a
4/30/2008,0x01000083,0x00008000,0x00000040,0x00000000,0x074388a8,0x00000000,0x00000000,0x00001022,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000970,0x00000149,0x0000018b,0x000008c1,0x00000baa,0x00000f56,0x00000b9e,0x00000c70
11/4/2008,0x01000095,0x00008000,0x00000040,0x00000000,0x54a4d79d,0x00000000,0x00000000,0x00001022,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000970,0x00000149,0x0000018b,0x000008c1,0x00000baa,0x00000f56,0x00000b9e,0x00000c70
5/1/2008,0x01000085,0x00008000,0x00000040,0x00000000,0x3d5db9c1,0x00000000,0x00000000,0x00001040,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x0000022f,0x000009a0,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff
5/1/2008,0x01000086,0x00008000,0x00000040,0x00000000,0x0330de04,0x00000000,0x00000000,0x00001041,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x000009a0,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff
3/11/2010,0x010000c6,0x00008000,0x00000040,0x00000000,0x840e66b5,0x00000000,0x00000000,0x00001041,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x000009a0,0x000009a5,0xffffffff,0x000009a1,0xffffffff,0xffffffff,0xffffffff,0xffffffff
10/24/2011,0x010000db,0x00008000,0x00000040,0x00000000,0x72bee4b9,0x00000000,0x00000000,0x00001041,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x000009a0,0x000009a5,0xffffffff,0x000009a1,0x000009ff,0xffffffff,0xffffffff,0xffffffff
7/31/2009,0x010000b6,0x00008000,0x00000040,0x00000000,0x6bda98e9,0x00000000,0x00000000,0x00001043,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000c10,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff
3/11/2010,0x010000c8,0x00008000,0x00000040,0x00000000,0xef77996a,0x00000000,0x00000000,0x00001043,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000c10,0x00000355,0xffffffff,0x00000351,0xffffffff,0xffffffff,0xffffffff,0xffffffff
11/11/2008,0x01000098,0x00008000,0x00000040,0x00000000,0x9aca53f8,0x00000000,0x00000000,0x00001062,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000b9a,0x00000c16,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff
12/17/2008,0x0100009f,0x00008000,0x00000040,0x00000000,0xd04eb78b,0x00000000,0x00000000,0x00001062,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000b9a,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff
3/11/2010,0x010000c7,0x00008000,0x00000040,0x00000000,0x1d6353b8,0x00000000,0x00000000,0x00001062,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000b9a,0x00000c16,0x00000355,0xffffffff,0x00000351,0xffffffff,0xffffffff,0xffffffff
3/5/2010,0x010000c5,0x00008000,0x00000040,0x00000000,0xcd93c583,0x00000000,0x00000000,0x00001080,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000b89,0x00000355,0xffffffff,0x00000351,0xffffffff,0xffffffff,0xffffffff,0xffffffff
10/24/2011,0x010000da,0x00008000,0x00000040,0x00000000,0x71c5625a,0x00000000,0x00000000,0x00001080,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000b89,0x00000355,0xffffffff,0x00000351,0x00000a05,0xffffffff,0xffffffff,0xffffffff
3/3/2010,0x010000c4,0x00008000,0x00000040,0x00000001,0x939ce04a,0x00000000,0x00000000,0x00001081,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000ba7,0x00000c14,0x00000355,0xffffffff,0x00000351,0xffffffff,0xffffffff,0xffffffff
10/12/2011,0x010000d9,0x00008000,0x00000040,0x00000000,0xead2876e,0x00000000,0x00000000,0x00001081,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000ba7,0x00000c14,0x00000355,0x00000a08,0x00000351,0x00000e0c,0x000007c4,0x00000b9a
2/17/2010,0x010000bf,0x00008000,0x00000040,0x00000000,0x39028242,0x00000000,0x00000000,0x000010a0,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000f74,0x000001be,0x00000e33,0x000001a9,0x00000075,0xffffffff,0xffffffff,0xffffffff
10/24/2011,0x010000dc,0x00008000,0x00000040,0x00000000,0x4f360b0c,0x00000000,0x00000000,0x000010a0,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000f74,0x000001be,0x00000e33,0x000001a9,0x00000075,0x00000273,0x00000355,0x00000351
3/24/2010,0x03000002,0x00008003,0x00000040,0x00000000,0x4303b849,0x00000000,0x00000000,0x00001200,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x0bd8106d,0x29380a51,0x0a72ffff,0x7ca703fc,0x1cb8ffff,0x6b59ffff,0xa9f9ffff,0x1ac8ffff
3/6/2008,0x02000032,0x00008000,0x00000010,0x00000000,0x8ff3faea,0x00000000,0x00000000,0x00002031,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x00000cc3,0x00000334,0xffffffff,0x00000e0c,0xffffffff,0x00000f73,0x000005ab,0xffffffff
10/4/2010,0x0300000e,0x00008003,0x00000040,0x00000000,0xfe687cbc,0x00000000,0x00000000,0x00003001,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x47c10c96,0x192a02bd,0x73cdffff,0xa017ffff,0x5eb9ffff,0x4a81ffff,0x2ad0ffff,0xa8fdffff
10/4/2010,0x0300000f,0x00008003,0x00000040,0x00000000,0x295b89ab,0x00000000,0x00000000,0x00003010,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x472302bd,0xb9510c99,0xe573ffff,0x51d8ffff,0xa968ffff,0x88c4ffff,0xc9b0ffff,0x9af0ffff
13/09/2011,0x03000027,0x00008003,0x00000040,0x00000000,0x104f0040,0x00000000,0x00000000,0x00003010,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0xe31902bd,0x98060c99,0x687b0f8a,0xd04511c6,0x3c450e8c,0xee29ffff,0xdd66ffff,0x8953ffff
11/24/2010,0x05000028,0x00008001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00005010,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x9a9f6689,0xbbcd8a14,0xe0596b71,0xe21decf1,0x85ddcba1,0x051854d4,0x1f70711f,0xa2866bb5
1/21/2013,0x05000029,0x00008001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00005010,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0xfe99ab0e,0x1f837cc0,0x9e5918bb,0x9ea6c1f8,0x2953ec64,0x1825d798,0xcb2d8df1,0xd263ed74
10/11/2011,0x0500010d,0x00008001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00005020,0x00000000,0x00000000,0x00000000,0x000000aa,0x000000aa,0x000000aa,0x0f17c373,0x878e486c,0x52f1f6ea,0x9376776b,0x5f036eda,0x038a3e66,0x00bd4b5c,0x49ae82a2
