Processor Signature,Date,Header Version,Revision,Flags,Checksum,Update Data Size
0x00000611,12/18/1996,0x00000001,0x00000b27,0x00000000,0x05793e46,2000
0x00000611,9/5/1995,0x00000001,0x000b0026,0x00000000,0x56520b61,2000
0x00000612,1/5/1996,0x00000001,0x000000c5,0x00000000,0x7c68ed35,2000
0x00000612,12/10/1996,0x00000001,0x000000c6,0x00000000,0x374569e7,2000
0x00000616,1/25/1995,0x00000001,0x000000c5,0x00000000,0xc269adc4,2000
0x00000616,12/10/1996,0x00000001,0x000000c6,0x00000000,0x2d239c7f,2000
0x00000617,1/25/1995,0x00000001,0x000000c5,0x00000000,0xa1ba5ea4,2000
0x00000617,12/10/1996,0x00000001,0x000000c6,0x00000000,0x3371797e,2000
0x00000619,1896/00/07,0x00000001,0x000000d1,0x00000000,0xabd00f1d,2000
0x00000619,7/18/1996,0x00000001,0x000000d1,0x00000000,0xa4bf0e1d,2000
0x00000619,2/18/1998,0x00000001,0x000000d2,0x00000000,0xc5c556c1,2000
0x00000630,8/27/1996,0x00000001,0x00000013,0x00000000,0xf316fc3b,2000
0x00000632,9/3/1996,0x00000001,0x00000020,0x00000000,0xebc16165,2000
0x00000633,12/12/1996,0x00000001,0x00000032,0x00000000,0x0d73d3bc,2000
0x00000633,9/23/1998,0x00000001,0x00000036,0x00000000,0xe92faa0c,2000
0x00000633,5/8/1998,0x00000001,0x00000034,0x00000001,0x278be7dc,2000
0x00000634,6/16/1997,0x00000001,0x00000033,0x00000000,0xf3ac5144,2000
0x00000634,9/23/1998,0x00000001,0x00000037,0x00000000,0x02c55597,2000
0x00000634,5/8/1998,0x00000001,0x00000035,0x00000001,0x3ac2fb53,2000
0x00000650,8/15/1997,0x00000001,0x00000005,0x00000000,0x10c8495d,2000
0x00000650,11/24/1997,0x00000001,0x00000015,0x00000000,0xffa999f3,2000
0x00000650,1/23/1998,0x00000001,0x00000027,0x00000001,0x66d67dd7,2000
0x00000650,6/10/1998,0x00000001,0x00000032,0x00000001,0xa0027121,2000
0x00000650,5/25/1999,0x00000001,0x00000040,0x00000001,0xb6a8b9b9,2000
0x00000650,5/25/1999,0x00000001,0x00000041,0x00000002,0xbc120ef5,2000
0x00000650,12/12/1997,0x00000001,0x00000019,0x00000004,0x657d0d11,2000
0x00000650,5/25/1999,0x00000001,0x00000045,0x00000008,0x429c2f70,2000
0x00000650,2/11/1998,0x00000001,0x0000002e,0x00000020,0x2f41bf64,2000
0x00000650,2/11/1998,0x00000001,0x0000002f,0x00000080,0xac6d02e6,2000
0x00000651,1/23/1998,0x00000001,0x00000029,0x00000001,0x8ec49c2f,2000
0x00000651,6/10/1998,0x00000001,0x00000030,0x00000001,0xde71ecc9,2000
0x00000651,5/25/1999,0x00000001,0x00000040,0x00000001,0xf400b4ac,2000
0x00000651,5/25/1999,0x00000001,0x00000041,0x00000002,0xa6218306,2000
0x00000651,5/25/1999,0x00000001,0x00000042,0x00000008,0x48947659,2000
